Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature,has_lyrics
3dVLKe2i0nZmtOBBWBw9j4,She's Alright,American Heartbreak,Zach Bryan,2022-05-20,229061,56,22o5lnwyfofbaefafhryhcdbi,2024-06-11T02:59:46Z,"country,red dirt",Warner Records,0.406,0.439,4,-8.129,1,0.0494,0.665,2.46e-06,0.69,0.19,148.181,4,True
6DLbBlGIOjjEj0dNN25zhZ,Tennessee Orange,Lucky,Megan Moroney,2023-05-05,223119,72,22o5lnwyfofbaefafhryhcdbi,2024-06-12T17:31:33Z,country,Columbia Nashville/Columbia Records,0.38,0.488,9,-6.637,1,0.029,0.126,7.23e-06,0.115,0.268,156.031,3,True
2opQESZb7JsRKCvWMBPeuv,Knockin' Boots,Born Here Live Here Die Here,Luke Bryan,2020-08-07,200066,64,22o5lnwyfofbaefafhryhcdbi,2024-06-12T17:33:39Z,"country,acoustic country",Capitol Records Nashville,0.728,0.682,2,-3.749,1,0.217,0.129,0.0,0.337,0.644,131.901,4,True
05ZACkzW8YbRq3eFgIfSNB,Springsteen,Chief,Eric Church,2011-01-01,263386,72,22o5lnwyfofbaefafhryhcdbi,2024-06-12T19:29:31Z,"country,acoustic country",EMI Records Nashville,0.692,0.809,2,-5.935,1,0.0255,0.1,9.91e-05,0.186,0.927,104.022,4,True
4L9Ds4mpD3SuYoWwFUlv16,Simple,Can't Say I Ain't Country,Florida Georgia Line,2019-02-15,185200,64,22o5lnwyfofbaefafhryhcdbi,2024-06-12T19:55:24Z,"country,pop country,acoustic country",BMLG Records,0.362,0.882,3,-3.717,1,0.0973,0.0791,0.0,0.15,0.864,199.811,4,True
39OclE5hZematADrdfaWvE,Next Thing You Know,Bluebird Days,Jordan Davis,2023-02-17,175226,70,22o5lnwyfofbaefafhryhcdbi,2024-06-12T20:17:35Z,country,MCA Nashville,0.549,0.608,5,-8.253,1,0.0481,0.682,0.0,0.0966,0.399,78.534,4,True
0ENB9P6WtUEKYjQ3dKnK23,Everything She Ain’t,Raised,Hailey Whitters,2022-03-18,151973,1,22o5lnwyfofbaefafhryhcdbi,2024-06-12T21:47:30Z,country,Pigasus Records / Big Loud Records / Songs & Daughters,0.796,0.621,2,-6.129,1,0.0346,0.175,0.0,0.274,0.808,121.904,4,True
4obHzpwGrjoTuZh2DItEMZ,7 Summers,Dangerous: The Double Album,Morgan Wallen,2021-01-08,210506,73,22o5lnwyfofbaefafhryhcdbi,2024-06-14T05:14:50Z,country,Big Loud / Republic,0.466,0.786,0,-5.13,1,0.0328,0.417,6.1e-05,0.125,0.571,203.903,4,True
1TUuhV75FeOF6UObRsABo2,Don't Think Jesus,Don't Think Jesus,Morgan Wallen,2022-04-15,226975,53,22o5lnwyfofbaefafhryhcdbi,2024-06-14T05:15:52Z,country,Big Loud Records / Republic Records,0.578,0.431,2,-7.034,1,0.0269,0.469,0.0,0.137,0.21,116.979,3,True
0uRrG2jRR5tuifsYIJHEao,Sand In My Boots,Dangerous: The Double Album,Morgan Wallen,2021-01-08,202133,70,22o5lnwyfofbaefafhryhcdbi,2024-06-14T05:19:28Z,country,Big Loud / Republic,0.403,0.537,3,-6.628,1,0.031,0.59,0.0,0.112,0.414,69.877,4,True
1rXq0uoV4KTgRN64jXzIxo,One Thing At A Time,One Thing At A Time,Morgan Wallen,2023-03-03,206864,64,22o5lnwyfofbaefafhryhcdbi,2024-07-01T00:01:51Z,country,Big Loud Records / Mercury Records / Republic Records,0.613,0.923,7,-5.187,1,0.0307,0.00413,1.97e-06,0.284,0.893,141.982,4,True
19Xbs8nrPaB4XGK5nVBbFC,Something to Talk About,Noise Complaint,Koe Wetzel,2016-08-17,204352,67,22o5lnwyfofbaefafhryhcdbi,2024-07-01T00:32:54Z,"red dirt,texas country,country,country rock",Columbia/Legacy,0.612,0.934,9,-5.126,0,0.0663,0.049,0.0,0.103,0.293,130.002,4,True
3ERb3f5nGNwRcNLNoN3KRg,Drunk Driving,Sellout,Koe Wetzel,2020-11-20,238211,61,22o5lnwyfofbaefafhryhcdbi,2024-07-01T00:35:51Z,"red dirt,texas country,country,country rock",Columbia,0.326,0.621,0,-5.621,1,0.0347,0.0803,0.0,0.127,0.368,119.977,4,True
2PgjJ90q1zETqCX68dxgyd,Sweet Dreams,Sweet Dreams,Koe Wetzel,2024-05-17,173269,58,22o5lnwyfofbaefafhryhcdbi,2024-07-01T00:36:09Z,"red dirt,texas country,country,country rock",Columbia,0.71,0.57,2,-4.99,0,0.0295,0.251,0.000306,0.117,0.486,75.036,4,True
3cBsEDNhFI9E82vPj3kvi3,Wasted On You,Dangerous: The Double Album,Morgan Wallen,2021-01-08,178520,75,22o5lnwyfofbaefafhryhcdbi,2024-07-02T03:57:11Z,country,Big Loud / Republic,0.505,0.657,11,-5.24,0,0.0318,0.373,0.00107,0.126,0.252,196.0,3,True
4k3lPl8YTKuY8c1HelVnm3,'Til You Can't,Human The Double Album,Cody Johnson,2021-10-08,224213,68,22o5lnwyfofbaefafhryhcdbi,2024-07-02T16:02:04Z,"texas country,country,red dirt",CoJo Music/Warner Music Nashville,0.501,0.815,1,-4.865,1,0.0436,0.0513,0.0,0.106,0.46,160.087,4,True
226le7T3p82reYWzsi9Hsz,"1, 2 Many",What You See Is What You Get,"Luke Combs,Brooks & Dunn",2019-11-08,180906,67,22o5lnwyfofbaefafhryhcdbi,2024-07-03T00:27:41Z,"country,acoustic country",River House Artists/Columbia Nashville,0.54,0.821,6,-3.789,1,0.0873,0.0397,0.0,0.423,0.685,148.798,4,True
4ObFZEXHQJcc8WQtqbCupZ,When Im Gone,When Im Gone,LECADE,2022-05-27,130685,66,22o5lnwyfofbaefafhryhcdbi,2024-07-03T00:28:13Z,country,Atlas Music Group,0.446,0.392,8,-11.388,0,0.283,0.643,0.0,0.111,0.502,179.137,4,True
5j4hSQH0KaAc8f6cimnXIT,Fire Away,Traveller,Chris Stapleton,2015-05-04,244333,69,22o5lnwyfofbaefafhryhcdbi,2024-07-03T00:31:15Z,country,Mercury Nashville,0.559,0.301,9,-9.066,1,0.0297,0.055,0.00979,0.101,0.177,116.123,3,True
1MX19fnaW1OUQoglWTYaOo,Dangerous,Dangerous: The Double Album,Morgan Wallen,2021-01-08,147893,67,22o5lnwyfofbaefafhryhcdbi,2024-07-03T00:31:30Z,country,Big Loud / Republic,0.635,0.772,7,-4.825,1,0.0279,0.216,0.0,0.285,0.948,119.017,4,True
2tgQaL85WoRfgEa4hFQgrE,Feathered Indians,Purgatory,Tyler Childers,2017-08-04,224946,74,22o5lnwyfofbaefafhryhcdbi,2024-07-03T00:32:05Z,"country,red dirt,alt country,texas country,bluegrass",Hickman Holler Records,0.536,0.574,7,-6.705,1,0.0254,0.75,0.00277,0.105,0.877,87.194,4,True
6tWGe6nvXFWT0KhGCXM89q,DEVIL YOU KNOW,DEVIL YOU KNOW,Tyler Braden,2024-02-02,192693,75,22o5lnwyfofbaefafhryhcdbi,2024-07-03T00:47:55Z,country,Warner Music Nashville,0.52,0.8,1,-4.256,1,0.041,0.00801,0.0,0.303,0.538,93.155,4,True
59kHPbwyyCApYA8RQQEuXm,Chattahoochee,A Lot About Livin' (And A Little 'Bout Love),Alan Jackson,1992-10-09,148160,68,22o5lnwyfofbaefafhryhcdbi,2024-07-03T00:53:42Z,"country,christian country",Arista Nashville,0.606,0.706,0,-9.665,1,0.0379,0.362,0.0,0.16,0.819,174.533,4,True
